TicketID,CreatedDateTime,CreatedDate,CreatedHour,PriorityKey,CategoryKey,TeamKey,AgentKey,Channel,Status,IsOpen,FirstResponseDateTime,ResolvedDateTime,ResolvedDate,ResponseDueDateTime,ResolutionDueDateTime,ResponseMinutes,ResolutionHours,ResponseSLAMet,ResolutionSLAMet,SLAStatus,ReassignmentCount,Reopened,CSATScore
INC1000000,2025-09-01 01:27:10,2025-09-01,1,2,1,1,11,Portal,Closed,0,2025-09-01 01:57:34,2025-09-01 04:05:41,2025-09-01,2025-09-01 01:57:10,2025-09-01 09:27:10,30.4,2.64,0,1,Met,0,0,
INC1000001,2025-09-01 02:05:23,2025-09-01,2,4,3,1,6,Email,Closed,0,2025-09-01 10:31:43,2025-09-01 14:38:23,2025-09-01,2025-09-01 10:05:23,2025-09-04 02:05:23,506.3,12.55,0,1,Met,0,0,
INC1000002,2025-09-01 02:14:50,2025-09-01,2,4,6,1,2,Portal,Closed,0,2025-09-01 10:19:14,2025-09-02 03:17:38,2025-09-02,2025-09-01 10:14:50,2025-09-04 02:14:50,484.4,25.05,0,1,Met,0,0,
INC1000003,2025-09-01 02:43:05,2025-09-01,2,3,7,2,18,Portal,Closed,0,2025-09-01 08:38:53,2025-09-01 23:31:04,2025-09-01,2025-09-01 04:43:05,2025-09-02 02:43:05,355.8,20.8,0,1,Met,1,0,4
INC1000004,2025-09-01 03:17:57,2025-09-01,3,2,19,6,40,Email,Closed,0,2025-09-01 03:41:59,2025-09-01 04:48:13,2025-09-01,2025-09-01 03:47:57,2025-09-01 11:17:57,24.0,1.5,1,1,Met,0,0,5
INC1000005,2025-09-01 03:50:50,2025-09-01,3,4,5,1,13,Portal,Closed,0,2025-09-01 10:34:40,2025-09-02 23:55:37,2025-09-02,2025-09-01 11:50:50,2025-09-04 03:50:50,403.8,44.08,1,1,Met,0,0,
INC1000006,2025-09-01 06:31:18,2025-09-01,6,4,19,6,40,Portal,Closed,0,2025-09-01 11:16:04,2025-09-01 15:42:13,2025-09-01,2025-09-01 14:31:18,2025-09-04 06:31:18,284.8,9.18,1,1,Met,0,0,3
INC1000007,2025-09-01 06:50:54,2025-09-01,6,4,5,1,3,Chat,Closed,0,2025-09-01 09:15:17,2025-09-01 23:56:02,2025-09-01,2025-09-01 14:50:54,2025-09-04 06:50:54,144.4,17.09,1,1,Met,0,0,4
INC1000008,2025-09-01 06:56:33,2025-09-01,6,2,14,4,30,Phone,Closed,0,2025-09-01 06:59:30,2025-09-01 10:38:30,2025-09-01,2025-09-01 07:26:33,2025-09-01 14:56:33,3.0,3.7,1,1,Met,0,0,
INC1000009,2025-09-01 06:57:20,2025-09-01,6,3,19,6,38,Phone,Closed,0,2025-09-01 08:42:06,2025-09-02 10:07:12,2025-09-02,2025-09-01 08:57:20,2025-09-02 06:57:20,104.8,27.16,1,0,Breached,1,0,
INC1000010,2025-09-01 07:00:50,2025-09-01,7,3,10,3,21,Portal,Closed,0,2025-09-01 08:47:47,2025-09-01 15:45:40,2025-09-01,2025-09-01 09:00:50,2025-09-02 07:00:50,107.0,8.75,1,1,Met,0,0,
INC1000011,2025-09-01 07:03:45,2025-09-01,7,4,2,1,10,Chat,Closed,0,2025-09-01 09:15:52,2025-09-02 04:40:30,2025-09-02,2025-09-01 15:03:45,2025-09-04 07:03:45,132.1,21.61,1,1,Met,0,0,4
INC1000012,2025-09-01 07:07:17,2025-09-01,7,4,8,2,15,Email,Closed,0,2025-09-01 11:09:47,2025-09-02 16:20:18,2025-09-02,2025-09-01 15:07:17,2025-09-04 07:07:17,242.5,33.22,1,1,Met,0,1,
INC1000013,2025-09-01 07:32:43,2025-09-01,7,3,7,2,20,Portal,Closed,0,2025-09-01 09:15:15,2025-09-01 13:38:04,2025-09-01,2025-09-01 09:32:43,2025-09-02 07:32:43,102.5,6.09,1,1,Met,0,0,
